//uId,tag,postId,"content",PhotoId,Likes
u1,!random,LP1,"hi",21,8
Hk1FREofreQZw5VrMMfPpTgw2ro1,@@mornings,-P10156356331896542,"showing how wrong tags look",-1,0
u504586349,#hi,-P10151769961556350,"Interesting perspective on the Berlin startup scene.TECHCRUNCH.COMWill The Real Berlin Please",-1,8
u100044361850784,#bura-hara,-P353718069450252,"For me it's a pay it forward. Because when I was in the projects somebody came up with the school",-1,339
u207996,#  f  eas  tf  u  lly,-P10151372676583358,"go get em!!!Vote For Me!! To win a scholarship to BHB 2013Susie Paterno""",55,3
Hk1FREofreQZw5VrMMfPpTgw2ro1,,-P10164612321020578,"",29,3
Hk1FREofreQZw5VrMMfPpTgw2ro1,#justKiddingILoveEm,-P1013565618168,"assignments make people dumb....",20,250
u207996,##Rees,-P10105055128234292,"",37,23
u210081,#boilery,-P10102700199919513',"We all want a tortilla chip that can support the weight of guacamole.I will never ask for anythi",-1,24
u3,h#hi,LP5,"is ",16,9
u3,#what,LP6,"content",4,8
u10210869,#caitiffs#,-P10109003676407203,"Beach boys end of summer edition!",-1,12
u665475577,#nervure,-P10161591696970578,"",-1,11
u1224927730,#humbly,-P10226248816146555,":: Curiosity ::",41,41
u504586349,#drag,-P10151676650226350,"I might be biased but Berlin seems to be getting more interesting every time I go back.TECHCRUN",63,30
u207996,# walking-staff,-P154565154573485,"",77,41
u37512888,#flibberty-gibbet,-P10107710795361456,"I love this picture so much!!""",101,21
u105819,##solmization,-P10104962655794802,"",-1,2
u4800348,#random,-P10100150418821319,"Happiness is a cart overflowing with mangosteens.",79,42
u500011461,##random,-P399132191461,"Our Chocolate souffle from the MCCM Team at Facebook.",75,3
u640872188,#ran dom,-P10151452979297189,"No power in the career center... How am I supposed to go on Facebook?",-1,3
u207996,#Random#,-P10150178737945259,"",97,1
u207996,random,-P10100160203632432,"",-1,5
u207996,RANDOM#,-P976084691292,"",72,3
