//create-post(uId; tags; "content"; photoId)
create-post(Hk1FREofreQZw5VrMMfreQZw5VrMMfPpTgw2ro1; #random; "[B_CP] hi"; 1)
create-post(u1; #random; "[B_CP] there"; -1)
create-post(u2; #test #test; "[B_CP] button"; 200)
create-post(u2; test#; "[B_CP] one"; 5)
create-post(u3; h#hi; "[B_CP] is "; 8)
create-post(u3; #what; "[B_CP] content"; 200)
create-post(u1; #today; "[B_CP] sth is here hihi"; 20)
create-post(u2; #sports #random; "[B_CP] nothing is here"; 20)
create-post(u3; ##; "[B_CP] content"; 21)
create-post(u4; random; "[B_CP] long content is here is here"; 25)
create-post(u4; wrong; "[B_CP] longer content is good, better than long content"; 26)
create-post(u5; Mistake#; "[B_CP] longgggggggggggestttstststgggggggestttststssstsgggggggestttststtststst posssible!!!!!!!!!!! 90 char"; 28)
create-post(u5; No#; "[B_CP] hi"; 30)
create-post(u6; #test Why How#; "[B_CP] there"; 20)
create-post(u6; #random #random #random; "[B_CP] button"; 77)
create-post(u7; #nth; "[B_CP] one"; 53)
create-post(u8; #thisIsQuiteALongOne; "[B_CP] is "; 23)
create-post(u1; #nth; "[B_CP] content content writer writer"; 87)
create-post(u1; #nth; "[B_CP] sth is here hihi"; 72)
create-post(u2; #nth; "[B_CP] nothing is here"; 61)
create-post(u2; #nth; "[B_CP] content"; 77)
create-post(u3; #nth; "[B_CP] hi"; 31)
create-post(u3; #nth; "[B_CP] there"; 58)
create-post(u1; #nth; "[B_CP] button"; 54)
create-post(u2; #nth; "[B_CP] one"; 90)
create-post(u3; #nth; "[B_CP] is "; 82)
create-post(u4; #nth; "[B_CP] content"; 57)
create-post(u4; #nth; "[B_CP] sth is here hihi"; 91)
create-post(u5; #nth; "[B_CP] nothing is here"; 68)
create-post(u5; #nth; "[B_CP] content"; 60)
create-post(u6; #nth; "[B_CP] hi"; 77)
create-post(u6; #nth; "[B_CP] there"; 60)
create-post(u9; #nth; "[B_CP] button"; 85)
create-post(u7; #nth; "[B_CP] one"; 75)
create-post(u13; #nth; "[B_CP] is "; 68)
